sample code,measured cellulose d18O (‰),atmospheric water vapour d18O (‰),atmospheric water vapour d18O SD (‰),RH (%) ,RH SD (%) ,airT(°C) ,airT SD (°C) ,stomatal conductance (mol m-2 s-1),stomatal conductance SD (mol m-2 s-1),transpiration rate (mmol m-2 s-1),transpiration rate SD (mmol m-2 s-1)
RDMFE0103LW03,30.65369386,-11.493,0.033598,51.846,3.930024,25.692,0.416678,0.145,0.02041,2.85,0.3297
RDMFE0103LW04,31.01496567,-11.668,0.049612,43,1.884,26.868,0.867582,0.145,0.02041,2.85,0.3297
RDMFE0103LW05,30.94438893,-11.68,0.033598,40.5,2.7475,29.583,0.429552,0.145,0.02041,2.85,0.3297
RDMFE0103LW06,30.89024983,-11.982,0.03297,54.077,3.454942,25.761,0.40663,0.145,0.02041,2.85,0.3297
RDMFE0103LW07,31.01274694,-12.244,0.115395,46,2.826,22.556,1.190531,0.145,0.02041,2.85,0.3297
RDMFE0103LW08,31.26186163,-18.672,0.028574,60.692,4.492712,18.774,0.328758,0.145,0.02041,2.85,0.3297
RDMFE0103LW09,31.21149916,-18.653,0.023236,62.231,2.892568,18.991,0.267528,0.145,0.02041,2.85,0.3297
RDMFE0103LW10,30.52325888,-18.787,0.046472,73.286,4.128158,17.984,0.659714,0.145,0.02041,2.85,0.3297
RDMFE0104EW01,28.90492671,-11.524,0.093415,60,2.512,15.278,0.979366,0.145,0.02041,2.85,0.3297
RDMFE0104EW02,29.37794363,-11.427,0.098439,54.1,2.750326,19.569,0.641816,0.145,0.02041,2.85,0.3297
RDMFE0104EW03,30.5611954,-14.552,0.076145,50.774,3.177052,22.412,0.74889,0.145,0.02041,2.85,0.3297
RDMFE0104LW01,31.07547912,-10.685,0.048984,48.692,3.941328,22.739,0.683264,0.145,0.02041,2.85,0.3297
RDMFE0104LW02,30.92988644,-10.654,0.064056,47.5,1.727,22.115,0.768044,0.145,0.02041,2.85,0.3297
RDMFE0104LW03,30.77130628,-10.413,0.039564,48.923,1.894676,25.034,0.4867,0.145,0.02041,2.85,0.3297
RDMFE0104LW04,30.60184389,-10.581,0.076302,53.385,3.9853194,25.038,0.683892,0.145,0.02041,2.85,0.3297
RDMFE0104LW05,30.5435741,-10.601,0.077558,64.786,3.049882,23.595,0.471314,0.145,0.02041,2.85,0.3297
RDMFE0104LW06,30.52562148,-10.357,0.041448,67.231,3.330284,21.256,0.601938,0.145,0.02041,2.85,0.3297
RDMFE0104LW07,30.41160709,-12.405,0.330956,67.231,2.776702,20.769,0.387162,0.145,0.02041,2.85,0.3297
RDMFE0104LW08,30.12835024,-12.4,0.035482,64.231,1.936124,21.735,0.424214,0.145,0.02041,2.85,0.3297
RDMFE0104LW09,30.49604001,-12.625,0.035482,64.692,3.208452,19.094,0.411654,0.145,0.02041,2.85,0.3297
RDMFE0104LW10,28.92753149,-12.812,0.058404,64.571,2.236308,17.401,0.483246,0.145,0.02041,2.85,0.3297
RDMFE0105EW01,27.70736185,-14.765,0.049141,58.813,2.740278,16.448,0.538196,0.145,0.02041,2.85,0.3297
RDMFE0105EW02,27.76759459,-14.712,0.039564,60.375,3.471898,16.024,0.446194,0.145,0.02041,2.85,0.3297
RDMFE0105EW03,29.41253046,-14.509,0.07065,54,0.98125,18.955,0.77244,0.145,0.02041,2.85,0.3297
RDMFE0105EW04,30.50730315,-14.704,0.084152,53.188,2.945948,19.743,0.56834,0.145,0.02041,2.85,0.3297
RDMFE0105EW06,31.97344729,-14.293,0.032813,55.765,2.268336,25.814,0.538196,0.145,0.02041,2.85,0.3297
RDMFE0105LW01,31.98969007,-17.047,0.067667,53.474,1.997982,23.208,0.849998,0.145,0.02041,2.85,0.3297
RDMFE0105LW02,31.67719896,-16.999,0.032656,49,1.413,25.219,0.311488,0.145,0.02041,2.85,0.3297
RDMFE0105LW03,31.77675849,-12.439,0.117122,52.789,3.773338,23.421,0.799444,0.145,0.02041,2.85,0.3297
RDMFE0105LW04,31.48037043,-12.219,0.048984,54.632,3.73189,21.649,0.578702,0.145,0.02041,2.85,0.3297
RDMFE0105LW05,30.93244571,-12.329,0.129525,60,2.512,22.064,0.832414,0.145,0.02041,2.85,0.3297
RDMFE0105LW06,30.80364018,-17.459,0.100166,73.737,4.068498,19.751,1.171848,0.145,0.02041,2.85,0.3297
RDMFE0105LW07,30.76222828,-17.605,0.062957,68.2,2.29534,17.111,0.750774,0.145,0.02041,2.85,0.3297
RDMFE0106EW01,28.87723596,-11.644,0.072063,64,4.508412,14.878,0.758624,0.145,0.02041,2.85,0.3297
RDMFE0106EW02,29.28096882,-11.481,0.072848,67,1.53075,16.406,0.81483,0.145,0.02041,2.85,0.3297
RDMFE0106EW03,29.37127384,-11.258,0.074261,58.75,2.143364,17.424,1.017988,0.145,0.02041,2.85,0.3297
RDMFE0106EW04,30.48673098,-6.6053,0.0656731,51,1.601086,19,0.869937,0.145,0.02041,2.85,0.3297
RDMFE0106EW05,31.1806035,-6.3304,0.056363,52.688,2.945006,21.83,0.672588,0.145,0.02041,2.85,0.3297
RDMFE0106EW06,31.88928459,-6.1214,0.0418876,55.588,3.094784,25.101,0.548872,0.145,0.02041,2.85,0.3297
RDMFE0106LW01,31.95154839,-10.6845,0.0435047,59.036,3.087876,25.768,0.572736,0.145,0.02041,2.85,0.3297
RDMFE0106LW02,31.52416194,-10.859,0.085408,60.25,2.561926,24.77,0.81797,0.145,0.02041,2.85,0.3297
RDMFE0106LW03,31.30253615,-11.411,0.048984,60.621,2.333962,20.718,0.579016,0.145,0.02041,2.85,0.3297
RDMFE0106LW04,30.23117326,-16.453,0.813888,65.464,2.953484,20.863,0.635222,0.145,0.02041,2.85,0.3297
RDMFE0106LW05,29.71272691,-16.759,0.048513,72.69,2.938412,19.602,0.674158,0.145,0.02041,2.85,0.3297
RDMFE0107EW01,28.89259503,-16.757,0.091531,65,3.611,17.778,0.898354,0.145,0.02041,2.85,0.3297
RDMFE0107EW02,28.66098989,-16.836,0.096712,66.565,3.021936,18.007,1.117526,0.145,0.02041,2.85,0.3297
RDMFE0107EW03,29.30766707,-16.443,0.100794,68.957,2.591756,19.401,1.01265,0.145,0.02041,2.85,0.3297
RDMFE0107EW04,30.72193625,-16.272,0.050711,63.5,2.108824,21.214,0.586866,0.145,0.02041,2.85,0.3297
RDMFE0107LW01,29.38614532,-11.516,0.143812,58.591,2.69255,21.838,0.846858,0.145,0.02041,2.85,0.3297
RDMFE0107LW02,28.51103035,-13.101,0.069394,62,2.198,19.432,1.00009,0.145,0.02041,2.85,0.3297
RDMFE0108EW01,28.03536695,-12.909,0.030144,65.348,2.45705,16.833,0.287781,0.145,0.02041,2.85,0.3297
RDMFE0108EW02,28.58565388,-12.884,0.019939,73.783,3.528418,17.585,0.314628,0.145,0.02041,2.85,0.3297
RDMFE0108EW03,28.41307223,-18.099,0.050083,73.261,3.468444,17.647,0.543848,0.145,0.02041,2.85,0.3297
RDMFE0108LW01,29.72819085,-14.687,0.088548,57,1.413,23.389,0.628,0.145,0.02041,2.85,0.3297
RDMFE0108LW03,29.05420898,-13.715,0.10676,69,1.413,15.611,1.046719,0.145,0.02041,2.85,0.3297
RDMFE0109EW01,27.97043223,-16.669,0.05652,57,1.413,16.928,0.745436,0.145,0.02041,2.85,0.3297
RDMFE0109EW02,27.84275152,-16.381,0.101422,57.478,3.32683,19.877,0.793164,0.145,0.02041,2.85,0.3297
RDMFE0109EW03,29.25492843,-15.923,0.119006,56.435,3.520568,20.795,0.79913,0.145,0.02041,2.85,0.3297
RDMFE0109EW04,29.06629047,-15.623,0.068295,54.708,2.48374,23.06,0.881712,0.145,0.02041,2.85,0.3297
RDMFE0109LW01,29.47161222,-10.51,0.066882,51.821,2.627238,24.264,0.775894,0.145,0.02041,2.85,0.3297
RDMFE0109LW02,29.70393524,-10.56,0.052124,46,1.9625,24.351,0.641502,0.145,0.02041,2.85,0.3297
RDMFE0109LW03,29.70089236,-12.049,0.048356,51.276,3.089132,24.944,0.590634,0.145,0.02041,2.85,0.3297
RDMFE0109LW04,29.73535459,-23.24,0.070179,54.679,4.087024,21.885,1.087068,0.145,0.02041,2.85,0.3297
RDMFE0109LW05,29.7121347,-14.639,0.082896,64.69,3.907416,19.389,0.440542,0.145,0.02041,2.85,0.3297
RDMFE0110EW01,28.91349032,-17.831,0.084152,71,4.867,13.836,0.828646,0.145,0.02041,2.85,0.3297
RDMFE0110EW02,27.70240413,-17.655,0.091845,55,1.884,17.722,0.662854,0.145,0.02041,2.85,0.3297
RDMFE0110EW03,29.62385088,-18.49,0.06123,65.174,2.952542,19.686,0.589692,0.145,0.02041,2.85,0.3297
RDMFE0110EW04,29.92211936,-18.549,0.103463,53.5,3.17925,19.861,1.229938,0.145,0.02041,2.85,0.3297
RDMFE0110LW01,29.36716432,-9.848,0.062643,50.257,2.12735,25.246,0.633966,0.145,0.02041,2.85,0.3297
RDMFE0110LW02,29.83360099,-12.048,0.040192,51.686,2.954112,22.938,0.674472,0.145,0.02041,2.85,0.3297
RDMFE0110LW03,30.16356352,-12.507,0.040977,55.371,2.697888,21.056,0.872292,0.145,0.02041,2.85,0.3297
RDMFE0110LW04,29.54035064,-14.546,0.090746,62.829,2.803706,17.838,0.823622,0.145,0.02041,2.85,0.3297
